road,chainage,lrp,lat,lon,type,name,condition,Segment,Truck,Bus,Car,Motorbike,Bicycle,nrLanes,destination
N1,12.239,LRP012a_B,23.68841233,90.54855853,Bridge,KHAS PARA BOX CULVERT,A,6,0,0,0,0,0,3,LRP012b_B
N1,12.253,LRP012b_B,23.68831973,90.54864981,Bridge,DAWAN BAG BOX CULVERT,A,6,0,0,0,0,0,3,LRP013
N1,12.524,LRP013,23.6865274,90.5504167,KmPost,"Ctg 247 km,Comilla 80 km",road,6,0,0,0,0,0,4,LRP013a_B
N1,12.66,LRP013a_B,23.68558303,90.55120798,Bridge,Madanpur Bridge.(L),A,6,0,0,0,0,0,4,LRP013a
N1,12.672,LRP013a,23.6854997,90.5512778,Culvert,Box culvert,road,6,0,0,0,0,0,4,LRP013b_B
N1,12.688,LRP013b_B,23.68536198,90.55135918,Bridge,Madanpur Bridge(R),A,6,0,0,0,0,0,4,LRP014
N1,13.524,LRP014,23.678166,90.5556111,KmPost,Km post missing,road,6,0,0,0,0,0,4,LRP014a_B
N1,13.574,LRP014a_B,23.6778035,90.55581943,Bridge,KAWTALA BOX CULVERT,A,6,0,0,0,0,0,4,LRP015
N1,14.524,LRP015,23.670916,90.5597778,KmPost,Km post missing,road,6,0,0,0,0,0,4,LRP015a
N1,14.563,LRP015a,23.6705827,90.5599722,Culvert,Box culvert,road,6,0,0,0,0,0,4,LRP016a_B
N1,15.465,LRP016a_B,23.66330907,90.56385699,Bridge,MALIBAG BOX CULVERT,B,6,0,0,0,0,0,4,LRP016
N1,15.524,LRP016,23.6628333,90.5641111,KmPost,Km post missing,road,6,0,0,0,0,0,4,LRP016a
N1,15.935,LRP016a,23.6604167,90.5671104,"SideRoad,Right",Road to MinanbariZ1061),road,7,0.001,0.001,0.001,0.001,0.001,4,LRP016b
N1,16.242,LRP016b,23.6591111,90.5697216,Bridge,Langalbandhu bridge,road,7,0,0,0,0,0,4,LRP016c
N1,16.402,LRP016c,23.6583056,90.5709993,Bridge,Bridge end,road,7,0,0,0,0,0,4,LRP017
N1,16.524,LRP017,23.6575,90.5719716,KmPost,Km post missing,road,7,0,0,0,0,0,4,LRP017a
N1,16.831,LRP017a,23.6559722,90.5743327,Bridge,Bridge start,road,7,0,0,0,0,0,4,LRP017b
N1,16.852,LRP017b,23.6559167,90.5745271,Bridge,Bridge end,road,7,0,0,0,0,0,4,LRP017b_B
N1,17.134,LRP017b_B,23.65442571,90.57673023,Bridge,Langalbandh Bridge.,C,7,0,0,0,0,0,4,LRP017c
N1,17.204,LRP017c,23.6540556,90.5772771,Bridge,Bridge start,road,7,0,0,0,0,0,4,LRP018b_B
N1,17.222,LRP018b_B,23.65397226,90.57741042,Bridge,Darikandi Bridge (R),A,7,0,0,0,0,0,4,LRP017d
N1,17.234,LRP017d,23.6539167,90.5774993,Bridge,Bridge end,road,7,0,0,0,0,0,4,LRP018
N1,17.524,LRP018,23.6525278,90.5798882,KmPost,Km post missing,road,7,0,0,0,0,0,4,LRP018a
N1,17.863,LRP018a,23.6508889,90.5826382,Bridge,Bridge start,road,7,0,0,0,0,0,4,LRP018b
N1,17.904,LRP018b,23.6506944,90.5829993,Bridge,Bridge end,road,7,0,0,0,0,0,4,LRP018c_B
N1,18.093,LRP018c_B,23.6497544,90.58454901,Bridge,SONARKALI BRIDGE(L),B,7,0,0,0,0,0,4,LRP019
N1,18.524,LRP019,23.6476108,90.588083,KmPost,Km post missing,road,7,0,0,0,0,0,4,LRP019a_B
N1,18.742,LRP019a_B,23.64596859,90.58921198,Bridge,MOLLIK PARA BRIDGE (R),C,7,0,0,0,0,0,4,LRP019a
N1,18.878,LRP019a,23.6449441,90.5899163,Culvert,Box culvert,road,7,0,0,0,0,0,4,LRP019b
N1,19.521,LRP019b,23.6397497,90.5926941,Culvert,Box culvert,road,7,0,0,0,0,0,4,LRP020
N1,19.524,LRP020,23.6396941,90.5927219,KmPost,Km post missing,road,7,0,0,0,0,0,4,LRP020a_B
N1,19.76,LRP020a_B,23.63795437,90.5936674,Bridge,KRIBORDI BOX CULVERT,A,7,0,0,0,0,0,4,LRP020a
N1,20.044,LRP020a,23.6358608,90.5948052,"SideRoad,Left",Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),road,8,-3377,-7773,619,-5623,-2941,4,LRP020b
N1,20.342,LRP020b,23.6341108,90.5970274,Bridge,Bridge start,road,8,0,0,0,0,0,4,LRP020b_B
N1,20.397,LRP020b_B,23.63380522,90.59739409,Bridge,SHADIPUR BOX CULVERT,B,8,0,0,0,0,0,4,LRP020c
N1,20.442,LRP020c,23.6335552,90.5976941,Bridge,Bridge end,road,8,0,0,0,0,0,4,LRP021
N1,20.524,LRP021,23.6330549,90.5982774,KmPost,Km post missing,road,8,0,0,0,0,0,4,LRP021c_B
N1,21.184,LRP021c_B,23.62846685,90.60230157,Bridge,Marikhali Bridge(L),A,8,0,0,0,0,0,4,LRP021a
N1,21.499,LRP021a,23.6262771,90.6042222,Culvert,Box culvert,road,8,0,0,0,0,0,4,LRP022
N1,21.629,LRP022,23.6252216,90.6049722,KmPost,"Ctg 238 km,Comilla 71 km",road,8,0,0,0,0,0,4,LRP022a
N1,21.765,LRP022a,23.6242216,90.6055278,Bridge,Bridge start,road,8,0,0,0,0,0,4,LRP022b
N1,21.993,LRP022b,23.6224993,90.6066944,Bridge,Bridge end,road,8,0,0,0,0,0,4,LRP022c
N1,22.252,LRP022c,23.6204716,90.6079722,Bridge,Bridge start,road,8,0,0,0,0,0,4,LRP022a_B
N1,22.328,LRP022a_B,23.61988322,90.60835289,Bridge,SANGAKADI CULVERT,B,8,0,0,0,0,0,4,LRP022d
N1,22.374,LRP022d,23.6195271,90.6085833,Bridge,Bridge end,road,8,0,0,0,0,0,6,LRP023a_B
N1,22.596,LRP023a_B,23.6176408,90.60955061,Bridge,ASHIR CHAR ( Left),B,8,0,0,0,0,0,6,LRP023
N1,22.629,LRP023,23.6173604,90.6096944,KmPost,Km post missing,road,8,0,0,0,0,0,6,LRP023c_B
N1,23.081,LRP023c_B,23.61358738,90.61090296,Bridge,ASHIR CHAR (R),B,8,0,0,0,0,0,4,LRP023a
N1,23.564,LRP023a,23.6095556,90.6121944,Bridge,Meghna  bridge,road,9,0.001,0.001,0.001,0.001,0.001,4,LRP024
N1,23.629,LRP024,23.609,90.6124722,KmPost,Km post missing,road,9,0,0,0,0,0,4,LRP024a_B
N1,24.393,LRP024a_B,23.60275959,90.6155317,Bridge,MEGHNA BRIDGE,C,9,0,0,0,0,0,4,LRP024a
N1,24.503,LRP024a,23.6018611,90.6159722,Bridge,Bridge end,road,9,0,0,0,0,0,4,LRP025
N1,24.629,LRP025,23.6009444,90.6165556,KmPost,Km post missing,road,9,0,0,0,0,0,4,LRP026
N1,25.629,LRP026,23.5959997,90.624666,KmPost,Km post missing,road,9,0,0,0,0,0,4,LRP026a
N1,25.639,LRP026a,23.5959441,90.6246938,Culvert,Box culvert,road,9,0,0,0,0,0,4,LRP026a_B
N1,26.115,LRP026a_B,23.59298188,90.62796994,Bridge,TATULTALA CULVERT,A,9,0,0,0,0,0,4,LRP026b
N1,26.313,LRP026b,23.5917497,90.6293327,Culvert,Box culvert,road,9,0,0,0,0,0,4,LRP026b_B
N1,26.452,LRP026b_B,23.59080885,90.63023686,Bridge,BAILAKANDI CULVERT,A,9,0,0,0,0,0,4,LRP027
N1,26.629,LRP027,23.5896108,90.6313882,KmPost,Km post missing,road,9,0,0,0,0,0,4,LRP027a_B
N1,27.12,LRP027a_B,23.58631812,90.63450942,Bridge,MALUAKANDI CULVEDRT,A,9,0,0,0,0,0,4,LRP027a
N1,27.503,LRP027a,23.5837497,90.6369441,Bridge,Bridge start,road,9,0,0,0,0,0,4,LRP028
N1,27.629,LRP028,23.5828327,90.6378886,KmPost,Km post missing,road,9,0,0,0,0,0,4,LRP028a
N1,27.668,LRP028a,23.5825827,90.6381386,Bridge,Bridge end,road,9,0,0,0,0,0,4,LRP028b_B
N1,28.315,LRP028b_B,23.57798002,90.64191931,Bridge,Bhater char Bridge (L),A,9,0,0,0,0,0,4,LRP028b
N1,28.324,LRP028b,23.577916,90.6419719,Bridge,Bridge start,road,9,0,0,0,0,0,4,LRP028c
N1,28.363,LRP028c,23.5776104,90.6421108,Bridge,Bridge end,road,9,0,0,0,0,0,4,LRP029
N1,28.759,LRP029,23.5745271,90.6436941,KmPost,Information missing,road,9,0,0,0,0,0,4,LRP029a
N1,29.067,LRP029a,23.572166,90.6451108,Bridge,Bridge start,road,9,0,0,0,0,0,4,LRP029b
N1,29.113,LRP029b,23.5718327,90.6453052,Bridge,Bridge end,road,9,0,0,0,0,0,4,LRP029a_B
N1,29.138,LRP029a_B,23.57163063,90.64541592,Bridge,Anarpara Bridge (L),A,9,0,0,0,0,0,4,LRP030
N1,29.759,LRP030,23.5666111,90.6481663,KmPost,Km post missing,road,9,0,0,0,0,0,4,LRP030a_B
N1,29.842,LRP030a_B,23.5660034,90.64862372,Bridge,VITIKANDA - ANAR PUR CULVERT,A,9,0,0,0,0,0,4,LRP030a
N1,30.127,LRP030a,23.5639167,90.6501944,Bridge,Bridge start,road,9,0,0,0,0,0,4,LRP030b
N1,30.165,LRP030b,23.5636944,90.6504722,Bridge,Bridge end,road,9,0,0,0,0,0,4,LRP030c
N1,30.697,LRP030c,23.5604167,90.6542222,Bridge,Bridge start,road,9,0,0,0,0,0,4,LRP030d
N1,30.735,LRP030d,23.5602222,90.6545,Bridge,Bridge end,road,9,0,0,0,0,0,4,LRP031
N1,30.774,LRP031,23.5599722,90.6548056,KmPost,"Ctg 229 km,Comilla 62 km",road,9,0,0,0,0,0,4,LRP031a_B
N1,30.908,LRP031a_B,23.55919103,90.65574757,Bridge,ALIPURA BRIDGE (LEFT),B,9,0,0,0,0,0,4,LRP031a
N1,30.936,LRP031a,23.5590278,90.6559444,"SideRoad,Right",Road to Gazara (Z1063),road,10,0.001,0.001,0.001,0.001,0.001,4,LRP031b
N1,31.348,LRP031b,23.5564444,90.6588611,Bridge,Bridge start,road,10,0,0,0,0,0,4,LRP031c
N1,31.388,LRP031c,23.5562222,90.6591389,Bridge,Bridge end,road,10,0,0,0,0,0,4,LRP032a_B
N1,31.472,LRP032a_B,23.55570829,90.65974142,Bridge,Bhaber char Bridge(R),A,10,0,0,0,0,0,4,LRP032
N1,31.783,LRP032,23.5538056,90.6619722,KmPost,"Ctg 228 km,Comilla 61 km",road,10,0,0,0,0,0,4,LRP032a
N1,32.025,LRP032a,23.5523333,90.6636667,Culvert,Box culvert,road,10,0,0,0,0,0,4,LRP032d_B
N1,32.121,LRP032d_B,23.55174219,90.66435388,Bridge,Baushia Bridge(R),A,10,0,0,0,0,0,4,LRP033
N1,32.607,LRP033,23.5487497,90.6678327,KmPost,"Ctg 227 km,Comilla 60 km",road,10,0,0,0,0,0,4,LRP033a_B
N1,32.777,LRP033a_B,23.54773774,90.66905541,Bridge,PURRANBUICHE BOX CULVERT,A,10,0,0,0,0,0,4,LRP033b_B
N1,32.796,LRP033b_B,23.54762464,90.66919207,Bridge,NOYAPARA,A,10,0,0,0,0,0,4,LRP033a
N1,32.831,LRP033a,23.5474163,90.6694438,Bridge,Bridge start,road,10,0,0,0,0,0,4,LRP033b
N1,32.908,LRP033b,23.5469441,90.6699993,Bridge,Bridge end,road,10,0,0,0,0,0,4,LRP033c
N1,33.351,LRP033c,23.5442219,90.6731104,Culvert,Box culvert,road,10,0,0,0,0,0,4,LRP034a_B
N1,33.591,LRP034a_B,23.54268543,90.67482921,Bridge,Madhya Baushia Bridge(L),A,10,0,0,0,0,0,4,LRP034
N1,33.607,LRP034,23.542583,90.6749438,KmPost,Km post missing,road,10,0,0,0,0,0,4,LRP034c_B
N1,34.111,LRP034c_B,23.53939102,90.67845779,Bridge,BOCTAR KANDI BOX CULVERT,C,10,0,0,0,0,0,4,LRP035
N1,34.607,LRP035,23.5362497,90.681916,KmPost,Km post missing,road,10,0,0,0,0,0,4,LRP035a
N1,34.641,LRP035a,23.536083,90.6821382,Bridge,Bridge start,road,10,0,0,0,0,0,4,LRP035b
N1,34.681,LRP035b,23.5358608,90.6823604,Bridge,Bridge end,road,10,0,0,0,0,0,4,LRP035c
N1,34.956,LRP035c,23.5341386,90.6843052,Culvert,Box culvert,road,10,0,0,0,0,0,4,LRP035a_B
N1,35.181,LRP035a_B,23.53277519,90.68587011,Bridge,.,A,10,0,0,0,0,0,4,LRP036a_B
N1,35.408,LRP036a_B,23.53139966,90.68744893,Bridge,BORAKANDI BRIDGE(L),B,10,0,0,0,0,0,4,LRP036
N1,35.607,LRP036,23.5301938,90.688833,KmPost,Km post missing,road,10,0,0,0,0,0,4,LRP036c_B
N1,35.707,LRP036c_B,23.53015196,90.68979518,Bridge,CHAR BOUSHEA (2),A,10,0,0,0,0,0,4,LRP036a
N1,36.271,LRP036a,23.529916,90.6952219,Bridge,Daudkandi bridge,road,11,0.001,0.001,0.001,0.001,0.001,5,LRP037
N1,36.607,LRP037,23.5301382,90.6984997,KmPost,Km post missing,road,11,0,0,0,0,0,5,LRP037a_B
N1,37.01,LRP037a_B,23.53038447,90.70244027,Bridge,Daud Kandi Bridge,C,11,0,0,0,0,0,5,LRP038
N1,37.607,LRP038,23.5307493,90.7082778,KmPost,Km post missing,road,11,0,0,0,0,0,4,LRP038a
N1,37.685,LRP038a,23.5307771,90.7090278,Bridge,Daudkandi bridge,road,11,0,0,0,0,0,4,LRP038b
N1,38.04,LRP038b,23.5313882,90.7153611,Others / Others,Start of Comilla road Division / Start of Comilla road Division,road,11,0,0,0,0,0,4,LRP038c
N1,38.466,LRP038c,23.5314716,90.7172216,"SideRoad,Right",Road to Matlab (Z1062),road,12,-834,-2284,-1927,-992,-72,4,LRP038d
N1,38.543,LRP038d,23.5315271,90.7173604,Bridge,Bridge start,road,12,0,0,0,0,0,4,LRP038e
N1,38.56,LRP038e,23.5315827,90.7176104,Bridge,Bridge end,road,12,0,0,0,0,0,4,LRP039
N1,38.607,LRP039,23.5317216,90.7180271,KmPost,Km post missing,road,12,0,0,0,0,0,4,LRP039a
N1,39.12,LRP039a,23.5322346,90.72262984,Culvert,Box culvert,road,12,0,0,0,0,0,4,LRP040b_B
N1,39.304,LRP040b_B,23.5324186,90.72428072,Bridge,Baldhakhal Bridge,C,12,0,0,0,0,0,4,LRP040
N1,39.607,LRP040,23.5327216,90.7269993,KmPost,Km post missing,road,12,0,0,0,0,0,4,LRP040c_B
N1,39.86,LRP040c_B,23.53175878,90.72917801,Bridge,MAIS PARA BOX CULVERT,B,12,0,0,0,0,0,4,LRP041
N1,40.607,LRP041,23.528916,90.7356108,KmPost,Km post missing,road,12,0,0,0,0,0,4,LRP042
N1,41.261,LRP042,23.5289993,90.7419441,KmPost,Ctg 214 km,road,12,0,0,0,0,0,4,LRP042a
N1,42.228,LRP042a,23.5293882,90.7514167,Bridge,Bridge start,road,12,0,0,0,0,0,6,LRP042b
N1,42.245,LRP042b,23.5293882,90.7515833,Bridge,Bridge end,road,12,0,0,0,0,0,6,LRP043
N1,42.269,LRP043,23.529416,90.75175,KmPost,Km post broken,road,12,0,0,0,0,0,6,LRP043a_B
N1,42.936,LRP043a_B,23.52980506,90.75825325,Bridge,SHAHID NAGIR,C,12,0,0,0,0,0,6,LRP044
N1,43.269,LRP044,23.5299993,90.7615,KmPost,Km post Missing,road,12,0,0,0,0,0,6,LRP045
N1,44.269,LRP045,23.5304438,90.7713049,KmPost,Km post Missing,road,12,0,0,0,0,0,6,LRP045a
N1,44.454,LRP045a,23.5304993,90.7731104,Culvert,Box culvert,road,12,0,0,0,0,0,6,LRP046a_B
N1,45.164,LRP046a_B,23.53076553,90.78007973,Bridge,SARKAR BARI CULVERT,C,12,0,0,0,0,0,6,LRP046
N1,45.269,LRP046,23.5308049,90.7811104,KmPost,Km post Missing,road,12,0,0,0,0,0,6,LRP046a
N1,45.322,LRP046a,23.5307493,90.7816104,"SideRoad,Right","Z1402, road to Pennai",road,12,0,0,0,0,0,6,LRP046b
N1,45.388,LRP046b,23.530666,90.7821938,"SideRoad,Left","Z1053, Road to Homna",road,13,0.001,0.001,0.001,0.001,0.001,6,LRP046c
N1,46.161,LRP046c,23.5312216,90.7895552,Culvert,Box culvert,road,13,0,0,0,0,0,6,LRP047
N1,46.269,LRP047,23.531166,90.7907219,KmPost,Km post Missing,road,13,0,0,0,0,0,6,LRP047a_B
N1,46.871,LRP047a_B,23.53086834,90.79180752,Bridge,AMIRABATH SLAB CULVERT,C,13,0,0,0,0,0,6,LRP047a
N1,47.224,LRP047a,23.5306938,90.7924441,"SideRoad,Right",Z1044,road,14,0.001,0.001,0.001,0.001,0.001,6,LRP048
N1,47.269,LRP048,23.5308604,90.8002222,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP048a
N1,47.672,LRP048a,23.5308882,90.8041389,Bridge,Bridge start,road,14,0,0,0,0,0,6,LRP048b
N1,47.692,LRP048b,23.530916,90.8043611,Bridge,Bridge end,road,14,0,0,0,0,0,6,LRP049
N1,48.269,LRP049,23.5316382,90.8099167,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP049a_B
N1,48.384,LRP049a_B,23.53182348,90.81101551,Bridge,Ginlatoly,C,14,0,0,0,0,0,6,LRP050
N1,49.269,LRP050,23.5332493,90.8194716,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP050a
N1,49.863,LRP050a,23.5346663,90.8249716,Bridge,Bridge start,road,14,0,0,0,0,0,6,LRP050b
N1,49.879,LRP050b,23.5347219,90.8251104,Bridge,Bridge end,road,14,0,0,0,0,0,6,LRP051
N1,50.269,LRP051,23.5344997,90.8287216,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP051a_B
N1,50.558,LRP051a_B,23.53297433,90.83097748,Bridge,RAIPUR BOX CULVERT,A,14,0,0,0,0,0,6,LRP052
N1,51.269,LRP052,23.5292216,90.8365274,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP052a
N1,51.636,LRP052a,23.5270549,90.8391386,Culvert,Box culvert,road,14,0,0,0,0,0,6,LRP053
N1,52.269,LRP053,23.523166,90.8438886,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP053a_B
N1,52.313,LRP053a_B,23.52291667,90.84421861,Bridge,AITAL BANGA BOX CULVERT,C,14,0,0,0,0,0,6,LRP054
N1,53.269,LRP054,23.5174993,90.8513889,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP055
N1,54.269,LRP055,23.5170827,90.8607778,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP056
N1,55.269,LRP056,23.5135833,90.8697771,KmPost,Km post Missing,road,14,0,0,0,0,0,6,LRP056a
N1,55.333,LRP056a,23.5133056,90.8703049,Bridge,Bridge start,road,14,0,0,0,0,0,6,LRP056b
N1,55.375,LRP056b,23.5131111,90.8706382,Bridge,Bridge end,road,14,0,0,0,0,0,6,LRP056c
N1,55.477,LRP056c,23.5126667,90.871416,"SideRoad,Left","Z1042, road to Bancharampur",road,15,0.001,0.001,0.001,0.001,0.001,6,LRP056a_B
N1,56.006,LRP056a_B,23.51008776,90.8757204,Bridge,Illiot bazar Bridge,C,15,0,0,0,0,0,6,LRP057
N1,56.269,LRP057,23.5088056,90.8778604,KmPost,Km post Missing,road,15,0,0,0,0,0,6,LRP058
N1,57.269,LRP058,23.506,90.8869163,KmPost,Km post Missing,road,15,0,0,0,0,0,6,LRP058a
N1,58.191,LRP058a,23.5056111,90.8958886,Culvert,Box culvert,road,15,0,0,0,0,0,6,LRP059
N1,58.269,LRP059,23.5056389,90.8966108,KmPost,Km post Missing,road,15,0,0,0,0,0,6,LRP059a_B
N1,58.838,LRP059a_B,23.50600243,90.90217454,Bridge,KHAT GHOR BOX CULVERT,B,15,0,0,0,0,0,6,LRP060
N1,59.269,LRP060,23.5062778,90.9063889,KmPost,Km post Missing,road,15,0,0,0,0,0,6,LRP060a
N1,60.18,LRP060a,23.50575,90.91525,Culvert,Box culvert,road,15,0,0,0,0,0,6,LRP061
N1,60.269,LRP061,23.5057222,90.9160278,KmPost,Km post Missing,road,15,0,0,0,0,0,6,LRP061a_B
N1,60.83,LRP061a_B,23.50561314,90.92146602,Bridge,BAKRA BOX CULVERT,B,15,0,0,0,0,0,6,LRP062
N1,61.269,LRP062,23.5055278,90.9257216,KmPost,Km post Missing,road,15,0,0,0,0,0,6,LRP063
N1,62.269,LRP063,23.5042778,90.9354163,KmPost,Km post Missing,road,15,0,0,0,0,0,6,LRP063a
N1,62.278,LRP063a,23.5043333,90.9354719,"SideRoad,Left","Z1017, Road to Companiganj",road,16,0.001,0.001,0.001,0.001,0.001,6,LRP063b
N1,62.542,LRP063b,23.5038611,90.9371386,Culvert,Box culvert,road,16,0,0,0,0,0,6,LRP063c
N1,62.894,LRP063c,23.5028611,90.9412774,Culvert,Box culvert,road,16,0,0,0,0,0,6,LRP064a_B
N1,63.098,LRP064a_B,23.50240778,90.94324189,Bridge,MATIA BAZER,B,16,0,0,0,0,0,6,LRP064
N1,63.269,LRP064,23.5020278,90.9448886,KmPost,Km post Missing,road,16,0,0,0,0,0,6,LRP064c_B
N1,63.538,LRP064c_B,23.50135519,90.94738441,Bridge,SONAPUR BOX CULVERT,A,16,0,0,0,0,0,6,LRP065
N1,64.269,LRP065,23.4995274,90.9541667,KmPost,Km post Missing,road,16,0,0,0,0,0,6,LRP066
N1,65.269,LRP066,23.4986386,90.9651111,KmPost,Km post Missing,road,16,0,0,0,0,0,6,LRP066a
N1,65.543,LRP066a,23.4980552,90.9660278,Culvert,Box culvert,road,16,0,0,0,0,0,6,LRP067
N1,65.726,LRP067,23.4972774,90.9674716,KmPost,Ctg 191 km,road,16,0,0,0,0,0,6,LRP067a_B
N1,66.178,LRP067a_B,23.49589631,90.97157725,Bridge,KARON KHAL SLAB CULVERT,B,16,0,0,0,0,0,6,LRP068
N1,66.726,LRP068,23.4942219,90.9765549,KmPost,Km post Missing,road,16,0,0,0,0,0,6,LRP068a
N1,67.42,LRP068a,23.4951386,90.9829993,Culvert,Box culvert,road,16,0,0,0,0,0,6,LRP069
N1,67.726,LRP069,23.4942497,90.985833,KmPost,Km post Missing,road,16,0,0,0,0,0,6,LRP068a_B
N1,68.04,LRP068a_B,23.49327281,90.98872004,Bridge,MILL GHAT BOX CULVERT,A,16,0,0,0,0,0,6,LRP070
N1,68.726,LRP070,23.4911386,90.9950274,KmPost,Km post Missing,road,16,0,0,0,0,0,6,LRP070a
N1,69.616,LRP070a,23.4894441,91.0033056,"SideRoad,Left",Road to Debiduar (Z1008),road,16,0,0,0,0,0,6,LRP070b
N1,69.638,LRP070b,23.4893886,91.0034722,"SideRoad,Right",Road to Jhalam (Z1022),road,17,746,755,95,3096,259,6,LRP071
N1,69.709,LRP071,23.4896108,91.0043056,KmPost,Ctg 188 km,road,17,0,0,0,0,0,6,LRP072
